Station,Lat,Lon,UTM_X,UTM_Y,Elev,File
481,-20.048083333333334,140.48338888888887,445975.64120361576,7783114.280875979,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\481.edi
482,-20.048083333333334,140.50280555555557,448006.16981587023,7783120.439368375,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\482.edi
483,-20.047194444444447,140.52180555555557,449992.83895871346,7783224.604938449,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\483.edi
484,-20.049472222222224,140.5413888888889,452041.4911841205,7782978.277775299,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\484.edi
485,-20.049500000000002,140.56005555555558,453993.5656660448,7782980.451590219,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\485.edi
486,-20.049472222222224,140.57966666666667,456044.3851789882,7782988.803988317,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\486.edi
487,-20.050666666666668,140.5966388888889,457819.56738973333,7782860.997365999,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\487.edi
488,-20.04925,140.61744444444446,459994.9206213426,7783022.885367053,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\488.edi
489,-20.04963888888889,140.63658333333333,461996.45131373825,7782984.316789384,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\489.edi
490,-20.049333333333333,140.65550000000002,463974.5718936772,7783022.319970323,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\490.edi
491,-20.045555555555556,140.6756111111111,466076.8593131837,7783444.584941508,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\491.edi
