Station,Lat,Lon,UTM_X,UTM_Y,Elev,File
529,-20.01305555555556,140.5220277777778,450005.2832685961,7787002.595216153,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\529.edi
530,-20.013444444444445,140.5408888888889,451978.26026237593,7786965.081112606,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\530.edi
531,-20.01338888888889,140.56044444444444,454023.732232039,7786976.719181644,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\531.edi
532R,-20.013194444444444,140.57930555555555,455996.5249777298,7787003.305672566,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\532R.edi
533,-20.013194444444444,140.59822222222223,457975.1815711479,7787008.166083485,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\533.edi
534,-20.013166666666667,140.61758333333333,460000.3157474638,7787015.983101761,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\534.edi
535,-20.013305555555554,140.63827777777777,462164.9511751297,7787005.424132749,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\535.edi
536,-20.013416666666668,140.65722222222223,464146.5265895526,7786997.297732048,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\536.edi
537,-20.013416666666668,140.6749722222222,466003.1363271519,7787001.00073464,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\537.edi
538,-20.01361111111111,140.6939722222222,467990.5297792468,7786983.228878724,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\538.edi
539,-20.014017222222225,140.71302805555555,469983.7957913448,7786941.818234768,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\539.edi
540,-20.01121722222222,140.7321777777778,471986.3019002328,7787254.98830566,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\540.edi
541,-20.0126,140.7493438888889,473782.0828921907,7787104.748897526,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\541.edi
